name,slug,description,parent,icon,image,isActive,productType
Gift Packs,gift-packs,Special gift collections of traditional food products perfect for gifting.,Food & Beverages,PiGift,gift_packs.jpg,true,physical
Beauty & Personal Care,beauty-personal-care,Natural personal care products made using traditional ingredients and methods.,,PiSpa,beauty_personal_care.jpg,true,physical
Bath Products,bath-products,Traditional bath products made with natural ingredients.,Beauty & Personal Care,PiShower,bath_products.jpg,true,physical
Hair Care,hair-care,Natural hair care products made using traditional ingredients and techniques.,Beauty & Personal Care,PiHaircut,hair_care.jpg,true,physical
Gift Sets,gift-sets,Beautiful gift sets of natural personal care products.,Beauty & Personal Care,PiGift,gift_sets.jpg,true,physical
Men's Grooming,mens-grooming,Traditional men's grooming products made with natural ingredients.,Beauty & Personal Care,PiScissors,mens_grooming.jpg,true,physical
Sustainable Living,sustainable-living,Courses on sustainable living practices from traditional wisdom.,,PiLeaf,sustainable_living.jpg,true,course
Farming & Agriculture,farming-agriculture,Courses on traditional and organic farming methods.,Sustainable Living,PiPlant,farming_agriculture.jpg,true,course
Natural Products,natural-products,Courses on making natural products using traditional methods.,Sustainable Living,PiFlower,natural_products.jpg,true,course
Business Skills,business-skills,Courses to help rural artisans and farmers build sustainable businesses.,,PiBriefcase,business_skills.jpg,true,course
Entrepreneurship,entrepreneurship,Business courses specifically designed for rural entrepreneurs.,Business Skills,PiChartLine,entrepreneurship.jpg,true,course
Digital Skills,digital-skills,Digital marketing and technology skills for rural artisans.,Business Skills,PiDevices,digital_skills.jpg,true,course
Culinary Arts,culinary-arts,Courses on traditional cooking methods and recipes.,,PiCookingPot,culinary_arts.jpg,true,course
Traditional Cooking,traditional-cooking,Learn traditional cooking methods and recipes from across India.,Culinary Arts,PiBowl,traditional_cooking.jpg,true,course
